"a1","a2","a3"
"472","0000019464","두산, 소속 선수 1명 폐렴 소견...2일 오전 훈련까지 취소"
"410","0000681293","집에 홀로 덩그러니…‘사람이 그리운’ 모터의 자가격리"
"108","0002853017","두산 베어스, 얼마나 알아? 뼛속까지 털었다 '2020 뎁스차트'"
"032","0003001335","리그 축소 ‘현실’ 돼가는데 …“KBO는 아직 ‘계획’이 없구나”"
"108","0002853008","[훈구쇼] 강백호 1루수 변신, 이강철 감독은 몇 수 앞을 내다보나 (영상)"
"109","0004187039","‘청백전 해설’ 손혁 감독 “선수에게 하고 싶은 말 할 때도 있죠” [고척 톡톡]"
"472","0000019461","KIA타이거즈, 2020시즌 팬북 2만부 발간"
"410","0000681287","롯데, 3차 청백전…마차도 홈런 포함 3안타 맹타"
"468","0000643492","베테랑 분석원 노석기 팀장 ""트래킹 데이터는 또다른 언어""[SS TALK]"
"076","0003549670","[SC현장리포트]옆구리 아팠는데 폐렴 진단…두산 선수단, 세번째 훈련 중단"
"529","0000041658","[엠스플 현장] “작년 이맘땐 야구장이 시끌벅적했는데...”"
"003","0009790851","'베어스팬들을 위한' 2020 두산베어스 뎁스차트 출간"
"109","0004187025","""쭈~욱 1군, 마지막 QS 승리"" 홍상삼이 소망하는 해피엔딩 [오!쎈 광주]"
"001","0011516283","손혁 키움 감독 ""급해도 구단 간 연습경기는 필요해"""
"076","0003549663","[SC이슈]KBO리그 개막해도 무관중부터. 단계적 개방 검토"
"014","0004400994","군번 안 따지는 상무 야구단 전통, 시작은 '장효조의 난'  [기록을 남긴 선수 기억에 남는 선수]"
"109","0004187018","잘 던지는 노성호-잘 치는 김응민, 삼성의 2차 드래프트 악몽 지울까"
"529","0000041657","[엠스플 인터뷰] 기약 없는 깜깜이 시즌, 노경은은 어떻게 견뎠나"
"311","0001130043","'롯데 외인 펄펄' 마차도 홈런 포함 3안타, 샘슨 4이닝 무실점"
"003","0009790784","손혁 키움 감독 ""타 구단과 연습경기는 꼭 필요"""
"382","0000810012","청백전은 김빠진다? 내야 뎁스 강화에 활용하는 한화"
"421","0004558180","이민우·장영석·김호령…눈도장 찍는 KIA의 무서운 도전자들"
"450","0000061879","야구에 목마른 박민우 ""이렇게 하고 싶었던 적이 있나 싶어"" [창원 S트리밍]"
"117","0003348470","롯데 마차도, 연습경기서 홈런 포함 3안타 폭발"
"015","0004317105","두산 1군 선수 폐렴 소견…선수단 전체 자택 대기 '훈련 전면 취소'"
"023","0003520045","[현장] 키움 모터의 슬기로운 격리생활"
"109","0004186974","롯데 샘슨, “한국은 코로나 대처 능숙…나태해지지 않고 준비” [김해 톡톡]"
"001","0011516086","키움 모터의 2주 자가격리기 ""브리검·요키시와도 통화만"""
"117","0003348467","키움 손혁 감독이 본 구단간 연습경기의 필요성"
"477","0000238424","제2의 강백호, 제2의 정우영이 동시에? 2020년 '현실'"
"144","0000664782","자가격리 중 화상통화로 첫 인사 모터 “격리 풀리고 빨리 개막 했으면” [스경X인터뷰]"
"003","0009790700","키움 모터의 '자가격리' 생활 ""요리하고, 홈 트레이닝 하고"""
"117","0003348461","더 미뤄진 연습경기, 여유 생긴 키움 토종선발 3인방"
"076","0003549635","[SC 영상] 포수 박동원 '2루 훔치는건 허락 못해~'"
"081","0003078969","프로야구, 프로축구 개막 미뤄지면서 시즌권 판매 저조"
"477","0000238415","LG 김현수-유강남이 '기약 없는' 개막에 대처하는 법"
"410","0000681257","유강남, 이민호·김윤식 신예들 성장에 엄마 미소 “기대된다” [현장인터뷰]"
"081","0003078965","한국 양대 프로스포츠 노블레스 오블리주는 어디에"
"109","0004186953","‘자가격리’ 모터 “집에서 홈 트레이닝, 빨리 야구하고 싶어” [오!쎈 고척]"
"109","0004186952","NC, 2일부터 3일간 전격 휴식...5일부터 3일턴 훈련 재개"
"056","0010812306","프로야구 개막 추가 연기…리그 단축도 고려"
"311","0001129679","'3연속 2루타' 삼성 백팀, 청팀 2-1 제압"
"052","0001422257","프로야구 5월 개막?...리그 축소도 검토"
"055","0000804750","[단독] 제멋대로 예산 집행…서울시 야구협회 적발"
"410","0000680994","손혁 감독 “선수단 자율 훈련 부여, 외국인 선수 여유 생겨” [현장인터뷰]"
"032","0003001093","“타석 서는 것만도 행복한데” …뇌종양 이긴 ‘부활의 홈런포’"
"032","0003001092","프로야구 시즌 개막 5월 이후로…무관중 연습경기도 연기"
"468","0000643097","롯데, '1군-퓨처스 교류전'에서 얻은 진짜 소득은?"
"109","0004186537","손혁 감독 “연습경기 21일 연기 아쉽다, 외국인선수는 부담 덜 것” [고척 톡톡]"
"214","0001027340","[스포츠 영상] 두산 청백전 호수비"
"214","0001027337","KBO 일정 또 연기 '시즌 단축'도 검토"
"311","0001129669","'이민우 4이닝 무실점' KIA 백팀, 홍팀 3-0 압도"
"076","0003549079","[SC이슈추적]무관중 경기X경기수 축소X올스타전 취소, 삼중고 빠진 KBO 144G 마지노선은 '5월초'"
"410","0000680984","김혜성 10회 결승타, 3시간 열린 키움 청백전…원정팀 6-5 승"
"108","0002852721","'최고 151km!' 삼성 김윤수 ""무실점해도 볼넷 많아 아쉽다"""
"076","0003549075","'연기가 아쉬워' 최원태, 3이닝 무실점 쾌조의 컨디션… 이정후-김하성 맹타"
"468","0000643094","프로야구 어린이 날 개막, 144경기 최후 방어선"
"109","0004186526","‘10이닝 경기’ 키움 청백전, 김하성 2루타 2개 포함 3안타 맹활약 [고척 리뷰]"
"108","0002852714","KIA 이민우 4이닝 4K 무실점 호투, 이정훈 투런포 폭발"
"472","0000019457","2020 KBO리그 개막 다시 미뤄져...긴급 실행위 연습경기 일정 2주 연기"
"108","0002852709","표류하는 개막... KBO ""야구하려면 사회적 분위기 조성 필요"" [★현장]"
"422","0000422016","프로야구 개막 또 연기…빨라야 4월 말"
"109","0004186519","이영하<U+FF65>알칸타라 강속구 맞대결…페르난데스 2루타 (동영상) [오!쎈 잠실]"
"082","0000992929","뇌종양 이긴 롯데 김상호 “기쁨과 눈물로 그라운드 돌았죠”"
"082","0000992928","프로야구 개막일 늦추고 리그 축소 본격 논의"
"109","0004186517","[O! SPORTS]이영하,'최고 구속 149km! 3이닝 호투' 청백전"
"076","0003549072","[SC핫피플] '롤모델' 없던 김병휘, '김하성 바라기'가 된 사연"
"108","0002852704","KBO, 유소년 야구장학금 신청 접수... 총 2억 4천만원 지원"
"477","0000238288","두산의 필승조 점검, 박치국-이형범-윤명준 무실점 응답"
"109","0004186510","'최고 145km' 힘 붙은 김이환, ""느린 커브가 죽었어요"" [대전 톡톡]"
"109","0004186509","[O! SPORTS]알칸타라,'이상없는 컨디션! 3이닝 무실점 호투' 청백전"
"109","0004186508","[O! SPORTS]알칸타라,'이상없는 컨디션! 3이닝 무실점 호투' 청백전"
"108","0002852694","[B스토리] 히어로즈 '감시자' 파견, 누구를 어떻게 언제까지?"
"421","0004555520","프로야구, 최후의 카드 '일정 축소' 검토 시작…5월초가 마지노선"
"001","0011513027","삼성 정인욱, 자체 청백전서 2이닝 무실점 호투"
"311","0001129604","두산 개막 엔트리 신입은? ""야수 중에서"""
"421","0004555486","'143㎞ 2이닝 무실점' 정인욱 ""꾸준하지 못해 호투라 할 수 없어"""
"410","0000680940","‘3·4선발 점검’ 최원태 3이닝 무실점 호투…이승호 3이닝 5K 1실점"
"477","0000238278","[SPO 인터뷰] '청백전 4안타' 오선진, ""어렵지만 최대한 타석에 집중"""
"421","0004555478","오재일 ""청백전, 감잡기 어렵지만 색달라…이영하 공 좋더라"""
"448","0000294803","개막 연기된 프로야구…선수와 팬 달래는 반가운 연습경기"
"055","0000804458","[이승기 특별출연] 롯데 김상호, 병마 딛고 부활포 '꽝'"
"023","0003519313","내년에 숨 쉴틈 없는 한국야구...3월엔 WBC, 7월엔 올림픽"
"032","0003000854","늦었다면, 더 특별한 ‘야구’를 하자 [이용균의 베이스볼 라운지]"
"057","0001438189","프로야구 개막 연기가 아쉬운 선수 고마운 선수"
"214","0001027004","[스포츠 영상] 뇌종양 김상호 복귀후 첫 홈런"
"477","0000238130","[SPO 현장] 운영의 묘를 찾아라… 핀토에게는 아직 시간이 있다"
"468","0000642642","ML는 적극 소통, KBO 선수협은? ""KBO와 주 1회 소통, 회의 참여 요청"""
"468","0000642641","""즐거워야 야구도 잘 된다"" LG 정근우의 특급 적응력 원천[SS TALK]"
"109","0004186141","포스트 김하성 꿈꾸는 신인 김병휘 “몸관리 열중, 치킨도 줄였다” [고척 톡톡]"
"076","0003548505","[SC현장인터뷰] 손혁-나이트의 신뢰 ""외인 격리, 아쉽지만 영리한 선수들"""
"468","0000642639","'하성바라기' 김병휘 ""그 좋아하던 치킨, 한 달 2번밖에 안 먹어요""[SS TALK]"
"076","0003548504","""군제대후 간절함 컸다"" LG 이상규, 무엇을 맡든 1군 전력[SC현장인터뷰]"
"109","0004186139","NC 외야진의 치열한 생존 경쟁, 이동욱 감독은 아빠 미소"
"001","0011510010","'2주 자가격리' 키움 외인 삼총사, 슬기로운 '집콕' 훈련"
"082","0000992561","롯데 토종 에이스 박세웅, 공도 몸도 ‘퍼펙트’"
"109","0004186134","[O! STARS]송은범,'3이닝 비자책 유강남 삼진' 청백전"
"076","0003548502","[SC영상] 서건창-김하성 '내야 수비는 천하무적'"
"109","0004186133","손혁 감독 “외국인선수들, 격리조치 이해하지만 아쉬워해” [고척 톡톡]"
"076","0003548501","[SC영상] 주효상-주성원 '키움 안방은 내가 지킨다'"
"410","0000680652","NC, 자체 청백전 점검…이동욱 감독 “김영규 구위 좋다”"
"117","0003347635","나이트 코치도 코로나19 걱정 ""미국에 자녀 4명"""
"311","0001129119","'권희동 결승 홈런' NC 청팀, 백팀 4-0 격파"
"109","0004186129","[O! SPORTS]200330 SK 청백전 피칭 모음"
"108","0002852432","""나도 두렵긴 마찬가지"" 외인 코치도 미국에 있는 가족 걱정 [★현장]"
"311","0001129115","롯데 스트레일리, 교류전에서 '6탈삼진'"
"117","0003347634","연습경기서 볼 수 없는 조상우 ""체력회복의 시간"""
"450","0000061816","'김하성이 목표' 키움 김병휘 ""하루하루 야구하는 것이 즐거워"" [고척 S트리밍]"
"014","0004399212","야구공에 찍힌 둥근 원이 보였다던 '타격 천재' 장효조 [기록을 남긴 선수 기억에 남는 선수]"
"109","0004186123","[O! SPORTS]채은성,'환상의 2타점 3루타' 청백전"
"109","0004186122","[O! SPORTS]비룡군단에서 새롭게 달리는 윤석민"
"477","0000238115","[SPO 현장 인터뷰] “아직도 긴장된다”는 이건욱, 번뜩이는 재능은 여전"
"311","0001129106","[엑:스토리] '투구폼 정립' 김민우의 분명한 변화, ""자신감이 생겼다"""
"117","0003347632","'태권도 4단에 청와대 경호까지' LG 이상규, 범상치 않은 사나이"
"117","0003347630","손혁 감독이 모터에게 내준 숙제 'KBO 투수 연구'"
"117","0003347629","NC 이동욱 감독, ""5선발 경쟁 끝나지 않았다"""
"023","0003519287","차명석 단장이'권력의 정점'이라 칭한 투수, 이상규"
"109","0004186118","""연투 OK, 70경기 & 20홀드"" KIA 박준표의 당당한 개막 목표 [오!쎈 광주]"
"382","0000809362","‘묵직한 4번’에 목마른 한화, 어깨 무거운 김태균-이성열"
"410","0000680641","나이트 코치 “브리검·요키시의 2주 격리, 멀리 보면 괜찮다”"
"055","0000804194","잠실구장 같이 쓰는데 '팀간 접촉 금지'…'한 지붕 두 가족'"
"119","0002392137","[스포튜브] KBO리그 역사상 최고의 외국인 선수는?"
"119","0002392136","강민호 반등 없인 '가을 삼성'도 없다?"
"032","0003000600","‘예열’ 끝났는데…또 미뤄지면 어쩌나"
"032","0003000599","“끝까지 선발로 뛴다는 생각 안 해…언제든지 중간 알바로도 뛸 준비”"
"382","0000809071","두산 청백전, 이용찬-유희관 나란히 4이닝 무실점 쾌투"
"410","0000680374","마스크 쓰고 韓 적응 중인 핀토, 도우미는 잠수함 박종훈 [현장스케치]"
"109","0004185764","[O! SPORTS]유희관,'4이닝 무실점 호투 그리고 페르난데스의 칭찬' 청백전"
"468","0000642136","선발진 싹바꾼 롯데, 2020 최대 승부처는 시즌 초반?"
"109","0004185757","""더 강하게 던지겠다"", 문경찬 신테마는 '직구 회전수' [오!쎈 광주]"
"109","0004185756","[O! SPORTS]김강률,'복귀를 위해 던지고 던진다' 청백전 피칭"
"079","0003342307","'좌희관 vs 우용찬' 두산 청백전 나란히 쾌투"
"468","0000642133","자가격리 들어간 외인 15명, 어떻게 시즌 준비하나"
"109","0004185747","허경민 3안타-이유찬 슈퍼캐치…뜨거웠던 두산 핫코너 [오!쎈 잠실]"
"076","0003548024","[SC현장]'내야 유망주' 이유찬 다이빙 캐치, 두산 전체가 감탄"
"469","0000482183","이용규의 바람 “후배들아, 3할ㆍ30도루 같은 목표로 뛰자”"
"109","0004185740","[O! SPORTS]최주환,'위기의 청팀! 그러나 최주환의 역전' 청백전"
"469","0000482166","“개막했을 시간인데… 안타깝지만 팬들과 재회할 날을 기다립니다”"
"410","0000680355","두산 선발 이용찬·유희관, 청백전서 나란히 4이닝 무실점"
"055","0000804161","두산 유희관·이용찬, 자체 청백전서 나란히 4이닝 무실점 호투"
"109","0004185725","[O!SPORTS] ‘봄바람에 휘날리는 단발머리’ kt 이대은 연습경기 피칭"
"477","0000237943","[SPO 현장인터뷰]‘두산 기대주’ 이유찬의 고민 “먹어도 살이 안쪄요”"
"410","0000680348","‘고볼트’ 고종욱의 하소연 “전광판이라도 켜주세요” [현장톡톡]"
"144","0000664150","SK 핀토 “외출 충동도 들지만…지금은 개막 생각뿐” [스경X현장]"
"109","0004185707","[O!SPORTS]구원왕 출신 김세현..""더 이상 부진은 없다"" 청백전 KK 무실점"
"001","0011507185","두산 유희관·이용찬, 자체 청백전서 나란히 4이닝 무실점 호투"
"003","0009783619","이용찬, 청백전서 4이닝 무실점…최주환 2타점 2루타"
"477","0000237940","[SPO 현장 인터뷰] '더 공격적으로' kt 손동현이 선언한 정면돌파"
"144","0000664147","돌고돌아 다시 선발…LG 송은범 “필요하면 언제든 불러주세요” [스경X인터뷰]"
"468","0000642068","""너는 잡는다"" ""얼마를 걸어도 상관없어"" 허경민-유희관의 유쾌한 내기"
"117","0003347345","'장민재-김민우 호투' 한화 청백전, 투수전 끝에 2-2 무승부"
"108","0002852228","'유쾌한 디스' 허경민 ""희관이 형한테 2안타? 의미 없죠"" 폭소 [★현장]"
"477","0000237938","[SPO 현장인터뷰]‘유희관과 깜짝내기’ 두산 허경민 “형 볼은 쳐야죠”"
"109","0004185686","""너한테는 안 맞아"" 유희관의 도발...허경민 ""안타 두 개는 없는걸로"" [오!쎈 잠실]"
"076","0003547980","[SC영상] ‘LG 트윈스’ 새로운 키스톤 콤비 오지환-정근우!"
"109","0004185679","차명석 단장 ""트레이드 불가""…홍창기 ""성적으로 보이겠다"" [잠실 톡톡]"
"382","0000809003","슬라이더 장착한 장민재, 올해는 풀타임 선발로 뛸까?"
"382","0000809002","2주간 자가 격리 돌입한 외인 15명…4월말 개막, 정말 가능할까"
"109","0004185677","[O!SPORTS] KT 김민수, 연습경기서 1이닝 공 8개로 ‘순삭’"
"076","0003547978","[SC현장코멘트]허경민 ""(유)희관이 형, 맡겨둔 돈 받으러 갑니다!"""
"056","0010810711","영업비밀까지 공개? 팬 갈증 달래는 프로야구 ‘천기누설’ 해설"
"108","0002852107","""예정대로라면 야구 개막인데..."" 현장은 잊지 못하고 있었다 [★취재석]"
"214","0001026581","[스포츠 영상] 마스크 쓰고도 다들 잘 뛰네"
"477","0000237893","[SPO 현장노트] ‘맹타에 호수비’ 오준혁-최지훈, SK 외야 판도 뒤흔든다"
"410","0000680191","“재밌다” 최주환이 바라본 ‘유격수’ 허경민과 ‘2루수’ 페르난데스"
"139","0002130568","KT 소형준,""올해 목표는 가을야구, 팀에 보탬 되고 싶다"""
"108","0002852100","'필승조 완벽 변신' SK 김세현 ""맡겨진 이닝만 잘 막을 뿐"" [★현장]"
"109","0004185474","[O! SPORTS] 김민-소형준 ‘유신고 선·후배 맞대결’"
"109","0004185473","[O! SPORTS] 김민-소형준 ‘유신고 선·후배 맞대결’"
"109","0004185472","[O! SPORTS] ‘10kg 감량’ 이보근, 청백전으로 실전감각 점검"
"109","0004185471","""마스크 쓰고 야구, 충격"" 미국-일본도 놀란 '롯데 청백전'"
"311","0001128484","'김성욱 홈런' NC N팀, C팀 4-0 격파"
"052","0001420984","""오늘이 개막이었는데..."" 청백전 온라인 중계에 쏠린 '눈'"
"117","0003347198","NC 이동욱 감독, ""투수진, 좋은 투구내용 보여줬다"""
"109","0004185465","‘원래는 개막인데…’ 쓸쓸했던 잠실의 타격 소리 (동영상) [오!쎈 잠실]"
"117","0003347197","'3이닝 완벽투' NC 구창모, ""선발 경쟁자들 호투, 동기부여 된다"""
"076","0003547768","'장타 포텐 가지고 있는 타자' 롯데 마차도 향한 기대치"
"076","0003547767","'1·2군 합동 청백전' 이동욱 감독 ""선수들 동기부여 될듯"""
"450","0000061788","NC 청백전서 '솔로포' 김성욱 ""개막까지 이 감을 이어가고 싶다"""
"117","0003347196","'3이닝 4K 무실점' NC 이재학, ""이닝수 조금씩 늘리면서 준비할 것"""
"396","0000544732","[SW이슈] 야구판 ‘코로나19 후유증’ 현실로 다가왔다"
"109","0004185462","'3점 홈런→꽈당 송구' 최정, 공수에서 큰웃음 선사 [오!쎈 인천]"
"117","0003347195","'홈런포' NC 김성욱, ""외야 경쟁 치열, 항상 후회없이 하려 한다"""
"109","0004185460","소형준 2G 연속 무실점+불펜 점검…KT 청백전 2-2 무승부 (동영상)"
"119","0002392010","[코로나19] 키움 외국인 선수, 3명 전원 음성 판정"
"410","0000680186","‘선발 이상 무!’ NC 이재학 구창모 나란히 3이닝 무실점"
"144","0000664076","‘솔로홈런’ NC 김성욱 “개막까지 이 감을 이어가고 싶다”"
"109","0004185458","‘투수진 만족감’ NC 이동욱 감독, “계획대로 흘러가는 중” [창원 톡톡]"
"003","0009782695","키움 외인들, 코로나19 음성…자가 격리 중"
"055","0000804019","키움 외국인 선수 3명 코로나19 음성 판정"
"109","0004185453","[O!SPORTS]최고구속 151km 김주온..'채태인,로맥,윤석민 상대로 무실점 호투'"
"052","0001420968","""오늘이 개막이었는데..."" 청백전 온라인 중계에 쏠린 '눈'"
"109","0004185452","장재영, ML 진출 기회는 있다...국제 아마추어 계약, 7월→내년 1월 연기"
"052","0001420966","박세웅 연습경기서 4이닝 무실점 '호투'"
"421","0004549441","키움, 외국인 3인방 모터·요키시·브리검 '코로나19' 음성"
"117","0003347190","키움 외인 3인방, 전원 코로나19 음성…자가격리 중"
"311","0001128469","'박세웅 4이닝 무실점' 롯데 백팀, 청팀 2-0 제압"
"109","0004185446","'호주→태국→한국 입국' 한화 서폴드, ""프로라면 항상 우승 목표"""
"469","0000481980","키움 외국인 선수 3명 코로나19 음성"
"108","0002852092","루키 소형준, 17살 형 박경수 '아찔 사구' 해프닝 ""자꾸 밖으로 빠져서..."" [★현장]"
